url,title,description
http://www.petrecognition.com/,petrecognition.com,
https://www.okiok.com/,503 Service Unavailable,
http://www.gambititsolutions.com/,Welcome to nginx!,
http://www.hintonx.com/,Hintonx | We create experiences.,
https://levio.ca/,Levio,
http://qtility.com/,403 Forbidden,
http://www.vaxstream.com/,Vaxstream,
http://www.q4solutions.ca/,Softaculous Webuzo | Default Website Page,
https://kinsella.ca/,Kinsella Computer Consultants ,"Kinsella Computer Consultants Inc.:  IT Professional Services in Kingston, Ontario.  Building Client Server Business Applications, and Website Design & Development to clients of all sizes and sectors, in Kingston, Canada and around the world  Welcome to our site!"
https://www.bibliotecainc.com/,Biblioteca Inc. | Digital Library Services,
http://www.islandit.ca/,403 Forbidden,
https://www.fandine.com/,FanDine | Your dining adventure starts here.,
http://www.glocalspace.com/,Glocalspace.com,
http://www.kindredtechnologies.com/,"Kindred Technologies - Project Management, Software Services, Business Consulting",
http://www.cfotoolbox.ca/,CFO Toolbox,"Connecting all your systems to one highly integrated corporate management platform, automating your corporate world and making team communication that much simpler !"
https://pravestech.ca/,This is the default server vhost,
https://datapassports.com/,DataPassports,
https://devntic.com/,Dev-NTIC | Software Development,
https://intakeq.com/,intakeQ Home Page| Online Intake Forms,Build your own online intake forms. Send them privately to your clients or embed them in your website. We are HIPAA compliant and support e-signatures
https://www.skyridge.com/,Error | Drupal,
https://www.iddesign.ca/,ID Design : web design and marketing in Toronto and beyond!,"ID Design specializes in web design, web development, web app design and web app development.
    Based in Ontario, Canada, serving customers everywhere."
